,Player,Role,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Damage dealt to turrets,Total heal,Damage self mitigated,Time ccing others,Total damage taken,Champions
31,Jankos,JUNGLE,2,2,6,4,211,123,16,5.9,11715,326,18.1%,64,16,16,12,1.78,0.45,0.33,0.45,24.8%,5725,3238,0,2487,159,12.8%,0.22,61.5%,,0,0,0,0,-848,-6,-520,-1,3858,15682,25867,3,27103,Olaf
32,Caps,MID,2,0,11,Perfect KDA,295,24,4,8.2,13831,385,21.3%,29,12,9,1,0.81,0.33,0.03,0.25,11.2%,10637,1495,9142,0,296,23.7%,0.36,100%,,0,0,0,0,-305,-1,-460,0,2957,15034,11470,14,14152,Seraphine
33,Mikyx,ADC,1,2,5,3,236,8,0,6.6,11924,332,18.4%,44,23,10,14,1.23,0.64,0.39,0.28,17.1%,6515,535,5980,0,181,14.5%,0.17,46.2%,,0,0,0,0,-333,-31,-366,0,1247,8094,13883,16,21655,Gragas
34,Rekkles,SUPPORT,3,1,9,12,76,18,4,2.1,12059,336,18.6%,79,37,13,4,2.2,1.03,0.11,0.36,30.6%,8885,7928,165,792,247,19.8%,0.33,92.3%,,1,0,0,0,524,-4,947,1,5376,14658,4146,9,7540,Senna
35,Odoamne,TOP,0,3,7,2.3,223,4,0,6.2,10547,294,18.3%,37,18,9,6,1.03,0.5,0.17,0.25,13.6%,6496,827,5669,0,181,11.2%,0.19,77.8%,,0,0,0,0,318,-1,759,0,1605,3079,12463,10,11205,Karma
36,Inspired,JUNGLE,3,2,4,3.5,215,118,28,6,11202,312,19.4%,50,14,15,11,1.39,0.39,0.31,0.42,18.3%,6696,2783,3199,714,186,11.5%,0.19,77.8%,,0,0,0,0,848,6,520,1,285,15642,31951,15,32724,Udyr
37,Larssen,MID,4,1,2,6,374,39,0,10.4,15153,422,26.2%,27,14,4,3,0.75,0.39,0.08,0.11,9.9%,21983,681,20849,453,612,37.8%,0.17,66.7%,1,1,0,0,0,305,1,460,0,494,1457,5602,33,9859,Syndra
38,Hans sama,ADC,2,1,2,4,348,24,4,9.7,14039,391,24.3%,62,13,16,3,1.73,0.36,0.08,0.45,22.7%,19273,17092,801,1380,537,33.2%,0.11,44.4%,,1,0,0,0,333,31,366,0,4093,2558,6430,38,10201,Ashe
39,Trymbi,SUPPORT,0,6,4,0.7,29,0,0,0.8,6850,191,11.9%,97,66,9,22,2.7,1.84,0.61,0.25,35.5%,3661,175,3162,324,102,6.3%,0.11,44.4%,,0,0,0,0,-524,4,-947,-1,0,1050,14135,17,12665,Rell
40,Armut,TOP,1,2,14,7.5,268,7,12,8.2,13135,400,20.2%,41,20,11,8,1.25,0.61,0.24,0.34,14.5%,15009,13314,1695,0,457,21.7%,0.46,75%,,0,0,0,0,1550,5,508,1,6907,6944,28850,30,23717,Gnar
41,Elyoya,JUNGLE,4,1,10,14,246,113,21,7.5,12931,394,19.9%,75,13,42,13,2.28,0.4,0.4,1.28,26.6%,6499,2708,2679,1112,198,9.4%,0.43,70%,,0,0,0,0,802,34,1102,1,734,18459,36796,13,34256,Udyr
42,Humanoid,MID,6,1,13,19,332,56,6,10.1,16303,497,25%,26,12,10,3,0.79,0.37,0.09,0.3,9.2%,17753,555,17198,0,541,25.7%,0.58,95%,,1,0,0,0,1408,2,-241,0,5119,1899,11297,16,12002,Orianna
43,Carzzy,ADC,7,2,8,7.5,279,13,0,8.5,14524,442,22.3%,50,13,17,5,1.52,0.4,0.15,0.52,17.7%,25599,18461,6681,457,780,37.1%,0.46,75%,,1,1,0,0,-1456,-28,-717,-1,5232,3448,6071,4,14146,Ezreal
44,Kaiser,SUPPORT,2,2,14,8,44,0,0,1.3,8203,250,12.6%,90,58,19,22,2.74,1.77,0.67,0.58,31.9%,4153,1351,2154,648,126,6%,0.49,80%,,0,0,0,0,411,5,-40,0,455,3075,18230,28,12723,Leona
45,Wunder,TOP,2,4,4,1.5,264,25,0,8,11098,338,21.1%,24,12,2,3,0.73,0.37,0.09,0.06,8.9%,22572,20422,2000,150,687,36.5%,0.18,75%,,0,0,0,0,-1550,-5,-508,-1,1425,3574,9339,8,15563,Jayce
46,Jankos,JUNGLE,2,2,4,3,154,101,8,4.7,9114,278,17.3%,74,35,19,12,2.25,1.07,0.37,0.58,27.3%,7094,3217,3020,857,216,11.5%,0.18,75%,,1,0,0,0,-802,-34,-1102,-1,329,12190,34470,19,32604,Volibear
47,Caps,MID,2,6,4,1,268,16,4,8.2,12177,371,23.1%,26,12,2,5,0.79,0.37,0.15,0.06,9.6%,19480,487,18818,175,593,31.5%,0.18,75%,,1,0,0,0,-1408,-2,241,0,1348,446,17186,21,16122,Viktor
48,Rekkles,ADC,2,3,5,2.3,328,17,0,10,13751,419,26.1%,57,30,18,2,1.74,0.91,0.06,0.55,21%,8152,5215,2185,752,248,13.2%,0.21,87.5%,,0,0,0,0,1456,28,717,1,5634,5395,5958,2,13030,Kai
49,Mikyx,SUPPORT,0,5,7,1.4,30,0,0,0.9,6546,199,12.4%,90,81,9,27,2.74,2.47,0.82,0.27,33.2%,4476,532,2946,998,136,7.2%,0.21,87.5%,,0,0,0,0,-411,-5,40,0,114,1274,19216,32,15764,Nautilus
50,Wunder,TOP,3,3,4,2.3,236,3,0,7.6,11435,368,18.6%,28,16,3,6,0.9,0.51,0.19,0.1,9.8%,9796,994,8288,514,315,18.4%,0.23,36.8%,,0,1,0,0,-524,-12,-574,-1,1127,6053,11451,2,18656,Akali
51,Jankos,JUNGLE,4,0,11,Perfect KDA,156,72,21,5,10796,347,17.5%,67,31,12,9,2.15,1,0.29,0.39,23.5%,8108,4966,2008,1134,261,15.2%,0.48,78.9%,,0,0,0,0,-405,-3,371,1,525,14138,31129,17,24263,Volibear
52,Caps,MID,4,0,14,Perfect KDA,308,43,5,9.9,14584,469,23.7%,28,16,3,6,0.9,0.51,0.19,0.1,9.8%,16690,852,15358,480,537,31.3%,0.58,94.7%,,0,0,0,0,959,25,980,1,9069,1029,7598,14,7199,Orianna
53,Rekkles,ADC,8,1,7,15,355,21,4,11.4,17078,549,27.8%,77,32,24,3,2.48,1.03,0.1,0.77,27%,15396,10469,2868,2059,495,28.9%,0.48,78.9%,,1,1,0,0,1520,39,1774,2,7290,8038,8148,0,12982,Kai
