,W/L,TeamGold,OppGold
397,LOSS,79.2,90.3
398,LOSS,38.8,45.5
399,WIN,59.9,47.5
400,WIN,57.3,41.7
401,LOSS,57.3,66.3
402,WIN,74.3,65.2
403,WIN,75.7,73
404,WIN,73.5,65.1
405,WIN,80.4,72.6
406,WIN,98.1,92.3
407,WIN,77.9,71.1
408,LOSS,45.3,55.3
409,WIN,58.3,46.4
410,WIN,56.3,47.2
411,LOSS,58.5,72.2
412,LOSS,74.4,80.6
413,WIN,50.2,38.9
414,LOSS,56,66.4
415,WIN,55.3,46.7
416,LOSS,53.4,67.3
417,WIN,48.1,43.4
418,LOSS,45.1,57.5
419,WIN,73.8,69.2
420,WIN,60.6,44.8
421,WIN,55.3,46.8
422,WIN,73.1,64.2
423,WIN,69.5,55.2
424,WIN,68.3,60.1
425,WIN,55.7,40.4
426,WIN,68.8,64.4
427,LOSS,59,73.3
428,LOSS,48.4,57.6
429,LOSS,56.2,64.4
430,LOSS,56.5,69.6
431,WIN,52.6,41.8
432,WIN,50.7,39.4
433,LOSS,50.8,58.1
434,WIN,60.7,51
435,WIN,57.8,49.5
436,LOSS,44.9,55.8
437,LOSS,51.2,64.5
438,WIN,53.3,42.1
439,WIN,65.5,54.5
440,WIN,48.1,37.4
441,WIN,50.2,43.3
442,WIN,65.5,54.3
443,LOSS,47.9,59.9
444,WIN,50.1,44.4
445,WIN,61.4,54.3
446,WIN,61.1,53.8
447,LOSS,62.6,75.1
448,WIN,75.9,72.7
449,WIN,61.1,54.6
450,LOSS,63.4,77.8
451,WIN,48.2,44.2
452,LOSS,73.5,77.6
453,WIN,68.3,56.2
454,LOSS,63.9,70.7
455,WIN,52,37.3
456,WIN,70.1,61.9
457,WIN,48.8,35
458,WIN,68.3,59.3
459,WIN,59.4,55.6
460,WIN,61.3,54.1
461,WIN,51.9,44.7
462,WIN,48.8,41.1
463,LOSS,51.9,60.3
464,WIN,58.1,48.5
465,LOSS,73.6,81.8
466,LOSS,48.9,60.2
467,WIN,62.6,49
468,WIN,66.7,63.2
469,WIN,62.8,54.6
470,WIN,43,31.9
471,WIN,60.9,48.6
472,WIN,62.1,55.1
473,LOSS,50.3,63.3
474,LOSS,46.2,58.2
475,LOSS,51.1,60
476,WIN,64.9,57.8
477,LOSS,52.7,65.1
478,WIN,61.5,50.6
479,LOSS,46.5,62.5
480,LOSS,70.4,78.2
481,WIN,77.4,70.6
482,LOSS,70.2,78
483,LOSS,56.9,66.7
484,WIN,63.9,55.1
485,WIN,53.9,44.1
486,WIN,56.4,46.2
487,LOSS,59.6,69
488,LOSS,57.1,62.4
489,WIN,67.8,58
490,WIN,56.6,47
491,WIN,57.9,43.3
492,WIN,64.6,49.8
493,WIN,67.5,55.7
494,WIN,78,65.3
495,WIN,101.1,86
496,WIN,82.1,73
497,LOSS,45.8,54.8
498,WIN,60,46.3
499,LOSS,56.8,67.4
500,WIN,66.4,55.1
501,WIN,74,60.7
502,WIN,55.4,49
503,WIN,65.3,52.7
