,County,Total Cases,Total Cases per 100k,Total Deaths,Total Deaths per 100k,Fully Vaccinated,Daily Case Avg,Daily Case 14-Day change %,Hospitalized Daily Avg,Hosp. Daily per 100k,Hosp. Daily change %,Deaths Daily Avg.,Deaths Daily per 100k
3145,Windsor ›,1413.0,2566.0,13.0,24.0,0.0,1.0,4.0,2,-46.0,0.0,,25.536858475894245
3146,Winkler ›,769.0,9600.0,21.0,262.0,23.0,1.0,6.0,9,-47.0,0.0,,41.0
3147,Winnebago ›,33178.0,11741.0,504.0,178.0,32.0,6.0,15.0,15,44.0,0.1,0.38,25.0
3148,Winnebago ›,21269.0,12372.0,219.0,127.0,37.0,5.0,14.0,4,-41.0,0.3,0.75,35.0
3149,Winnebago ›,1424.0,13753.0,31.0,299.0,37.0,5.0,5.0,,-100.0,0.0,,36.0
3150,Winneshiek ›,1969.0,9849.0,34.0,170.0,42.0,1.0,4.0,,0.0,0.0,,28.0
3151,Winn ›,1549.0,11141.0,44.0,316.0,23.0,8.0,14.0,11,-5.0,0.0,,19.0
3152,Winona ›,4539.0,8991.0,50.0,99.0,41.0,2.0,9.0,,-100.0,0.0,,45.0
3153,Winston ›,2756.0,11664.0,73.0,309.0,12.0,9.0,5.0,3,-37.0,0.3,0.17,24.0
3154,Winston ›,2272.0,12654.0,81.0,451.0,25.0,5.0,5.0,5,-65.0,0.0,,36.0
3155,Wirt ›,425.0,7301.0,3.0,52.0,0.0,3.0,18.0,19,-10.0,0.0,,25.536858475894245
3156,Wise ›,7344.0,10494.0,121.0,173.0,22.0,1.0,9.0,2,-35.0,0.0,,25.0
3157,Wise ›,3191.0,8536.0,97.0,259.0,0.0,11.0,5.0,4,-49.0,0.1,0.06,25.536858475894245
3158,Wolfe ›,530.0,7405.0,5.0,70.0,32.0,1.0,3.0,5,6.0,0.3,3.22,24.0
3159,Woodbury ›,15127.0,14671.0,228.0,221.0,36.0,5.0,12.0,12,41.0,0.0,,41.0
3160,Woodford ›,2143.0,8016.0,20.0,75.0,48.0,1.0,7.0,,-100.0,0.0,,29.0
3161,Woodford ›,4790.0,12455.0,89.0,231.0,33.0,6.0,19.0,11,11.0,0.0,,31.0
3162,Woodruff ›,649.0,10269.0,13.0,206.0,33.0,2.0,4.0,3,0.0,0.0,,20.0
3163,Woodson ›,218.0,6947.0,5.0,159.0,25.0,0.0,,,0.0,0.0,,34.0
